measurer,type,time,number,,00:00.0,00:01.0
10,S,14:54:54.24,58,,,54:54.2
10,S,14:54:55.82,,,,54:55.8
10,S,14:55:29.54,59,,,
10,S,14:55:45.09,,,,55:45.1
10,S,14:55:45.46,,,,55:45.5
10,S,14:55:45.80,,,,55:45.8
10,S,14:55:46.11,,,,55:46.1
10,S,14:55:46.68,,,,55:46.7
10,S,14:55:47.07,,,,55:47.1
10,S,14:56:16.16,61,,,56:16.2
10,S,14:56:40.19,,,,56:40.2
10,T,14:58:42.86,44,,,58:42.9
10,T,14:59:24.19,34,,,59:24.2
10,T,14:59:58.09,47,,,59:58.1
10,T,15:00:29.47,41,,,00:29.5
10,T,15:01:02.40,43,,,01:02.4
10,T,15:02:46.94,57,,,02:46.9
10,T,15:03:24.43,32,,,03:24.4
10,T,15:03:56.63,55,,,03:56.6
10,T,15:04:40.31,12,,,04:40.3
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
,,,,,,00:00.0
